Rank,Company,Owner,"TOTAL INCOME 
(INR Cr)","NET OPERATING INCOME 
(INR Cr)","PROFIT 
(INR Cr)","Profit as % 
of Revenue","INTEREST COST / AS % OF 
EBITDA","cash & bank balance 
(INR Cr)","total debt 
(INR Cr)","debt-equity 
ratio","TOTAL ASSETS 
(INR Cr)","NET WORTH 
(INR Cr)",RONW%,ROCE%,"EMPLOYEES 
(IN NOS.)","T12M AVG 
M-CAP 
(INR Cr)",TSR%
187-35,Uflex,Ashok Chaturvedi,13421,13364,-691,NAP,536,1073,6947,0.96,14312,7225,NAP,6.4%,7384,3811,22.1%
188-21,Glenmark Pharmaceuticals,Saldanha family,13246,11813,-1502,NAP,516,1659,1231,0.16,9619,7848,NAP,12.1%,12736,34141,89.2%
189+37,Voltas,Tata Group,13126,12481,252,1.9%,56,852,744,0.13,6715,5821,4.4%,8.4%,1938,45076,105.4%
190+88,Zomato,Diversified,12966,12114,351,2.7%,72,731,749,0.04,21246,20413,1%,1%,4440,173324,129.2%
191+5,Alkem Laboratories,Singh family,12964,12668,1796,13.9%,112,1579,1418,0.14,12770,10312,18.7%,18.3%,17277,63399,26.3%
192+13,Ircon International,Govt of India,12956,12331,930,7.2%,149,4984,2570,0.44,10433,5871,16.8%,15.1%,1201,21908,13.5%
193-11,Dabur India,Burman family,12837,12404,1843,14.4%,124,666,1365,0.14,11742,9866,19.2%,23.1%,5369,100890,-5.5%
194+9,Summit Digitel Infrastructure,MNC,12820,12509,-3038,NAP,6569,638,49166,NAP,44173,-14740,NAP,0%,NAVL,NAP,NAP
195+81,Waaree Energies,Hitesh Doshi & family,12536,11398,1237,9.9%,140,3779,553,0.14,6097,4088,34.4%,35%,NAVL,84176,33.3%
196+4,Dilip Buildcon,Dilip Suryavanshi,12416,12012,194,1.6%,1013,736,7240,1.66,12042,4370,1.4%,10%,19081,6805,4.7%
197-11,Pidilite Industries,B.K. Parekh,12397,12383,1729,14%,51,533,382,0.05,9103,8407,22.4%,29.3%,10124,150122,22.1%
198-4,SIS,R. K. Sinha & Associates,12328,12261,190,1.5%,148,741,1658,0.69,4269,2414,8%,10%,163744,6327,-13.6%
199+31,AU Small Finance Bank,Sanjay Agarwal,12301,10555,1535,12.5%,5398,6376,92661,NAP,109426,12560,13%,1.5%,29738,47213,-21.1%
200NEW,ATC Telecom Infrastructure,Sanjay Goe,12163,10571,4204,34.6%,1031,1436,4850,0.53,21065,9186,55.8%,34.7%,NAVL,NAP,NAP
201+24,Gokul Agro Resources,K.J. Thakkar,12139,11863,136,1.1%,118,437,604,0.77,1393,786,18.9%,23.3%,461,2546,151.1%
202+29,Shree Renuka Sugars,MNC,12119,11319,-627,NAP,918,54,5794,NAP,4407,-2446,NAP,0%,2132,9825,-20.7%
203+13,Jammu and Kashmir Bank,Diversified,12051,11213,1771,14.7%,6008,8196,137648,NAP,154505,10924,18.1%,1.2%,12849,13195,-16.1%
204-7,Ceat,RPG Group,12019,11943,643,5.4%,269,59,1792,0.44,5944,4043,17%,19.2%,6743,10666,33%
205+6,Amara Raja Batteries,R.N. Galla,12010,11708,934,7.8%,34,118,157,0.02,7218,6799,14.6%,18.8%,2361,20675,92.7%
206-4,JSW Energy,Savitri Devi Jindal,11957,11486,1723,14.4%,2053,4207,31573,1.52,53271,20832,8.7%,8.7%,2500,103251,77.7%
207+11,J K Cements,JK Group,11903,11556,791,6.6%,453,867,5549,1.03,11510,5367,15.7%,14.7%,4196,32395,12.6%
208-13,NHPC,Govt of India,11703,9660,3624,31%,608,3622,32561,0.84,84337,38702,10.7%,7.4%,3381,89394,51%
209NEW,Swiggy,"Sriharsha Majety, Nandan Reddy, Rahul Jaimini",11646,11247,-2350,NAP,71,891,864,NAP,8724,-7782,NAP,0%,NAVL,97432,-7.9%
210-23,DCM Shriram,"Ajay Shriram, Vikram Shriram",11629,11214,447,3.8%,88,672,2152,0.33,8980,6522,7%,9.2%,5843,15862,50.2%
211+13,HDFC Ergo GIC,"HDFC, ERGO Intl",11616,11606,438,3.8%,0,289,1075,NAP,5523,4152,10.9%,11.3%,NAVL,NAP,NAP
212-13,United Spirits,MNC,11458,11321,1408,12.3%,76,1269,265,0.04,7401,7121,21%,27.8%,2598,91894,39.3%
213R-E ‘21,Serum Institute of India,Cyrus Poonawalla,11421,9549,4278,37.5%,65,1072,302,0.01,42099,41187,9.1%,11.5%,NAVL,NAP,NAP
214+1,Tata AIG General Insurance Company,Tata,11408,11381,685,6%,0,355,730,NAP,9706,4677,15.8%,13.2%,NAVL,NAP,NAP
215-46,Paradeep Phosphates,K.K. Birla Group,11310,11575,100,0.9%,366,118,4014,1.13,7604,3564,3.3%,6.7%,1467,6462,72.6%
216+19,Deutsche Bank,MNC,11234,9723,1977,17.6%,3998,12824,102103,NAP,145235,24289,8.5%,1.4%,NAVL,NAP,NAP
217-16,Marico,Harsh Mariwala,11181,11094,1481,13.3%,73,943,528,0.14,5122,3832,39.4%,42.4%,1782,76380,15%
218-12,Berger Paints India,Dhingra brothers,11179,11199,1168,10.5%,78,451,753,0.14,6240,5379,23.7%,27.2%,4445,64206,-17.3%
219NEW,SEIL Energy India,Sembcorp,11071,9832,2281,20.6%,709,174,6762,0.64,17308,10539,20.5%,21.1%,NAVL,NAP,NAP
220+2,Torrent Pharmaceuticals,Samir & Sudhir Mehta,11029,10728,1656,15%,354,839,4022,0.59,11333,6856,25.4%,23.2%,18467,95494,48.6%
221+21,Raymond,Gautam Singhania,11025,9020,1638,14.9%,376,526,4181,0.91,9704,4617,43.7%,30.2%,2133,12882,38.1%
222+11,Barclays Global Service Centre,MNC,10969,10903,1017,9.3%,149,944,908,0.88,3651,1034,110.8%,45%,NAVL,NAP,NAP
223-44,LifeStyle International,Micky Jagtiani,10929,11215,292,2.7%,623,712,0,0,7791,2112,14.4%,14.1%,NAVL,NAP,NAP
224+15,Punjab & Sind Bank,Govt of India,10915,9694,595,5.5%,6853,7383,129180,NAP,147744,14467,4.2%,0.4%,NAVL,38164,14%
225+7,ABB India,MNC,10775,10447,1242,11.5%,17,4816,49,0.01,6007,5945,22.8%,30.4%,3061,142526,53.2%
226+21,Adani Green Energy,Adani Group,10749,9220,1100,10.2%,5006,8764,64858,6.6,83947,9834,16.9%,10%,3324,277241,57.3%
227+23,Mankind Pharma,Juneja brothers,10726,10335,1913,17.8%,35,1198,207,0.02,9929,9363,23.1%,27.9%,18428,89715,29.2%
228-19,Nuvoco Vistas Corporation,Karsanbhai Patel,10700,10733,147,1.4%,533,107,4404,0.49,13664,8984,1.7%,5.4%,3849,12269,-4.7%
229NEW,Abis Exports India,Bahadur Ali,10646,10465,572,5.4%,95,14,2002,0.84,4398,2380,27.1%,21.8%,NAVL,NAP,NAP
230+14,NBCC,Govt of India,10572,10433,402,3.8%,4,5191,1,0,2691,2226,25.6%,30.9%,989,25208,101.1%
231+21,Mazagon Dock Shipbuilders,Govt of India,10568,9467,1937,18.3%,9,14210,1,0,6815,6243,32.9%,40.1%,946,65357,102.9%
232+25,One 97 Communications,Diversified,10525,9978,-1417,NAP,26,5246,177,0.01,13656,13327,NAP,0%,28107,34751,-13%
233+21,IIFL Finance,Nirmal Jain & Associates,10490,10471,1764,16.8%,3911,4246,47161,NAP,59217,10637,20.1%,12.1%,14992,19837,-28.8%
234-15,Macrotech Developers,M.P. Lodha,10470,10316,1549,14.8%,482,2635,7684,0.45,25349,17028,10.6%,10.8%,4611,118285,44.4%
235-25,PDS,D.K. Seth,10449,10373,144,1.4%,128,684,1054,0.9,2330,1167,18.3%,17.8%,4218,7027,-15.3%
236-9,Hexaware Technologies,MNC,10389,10380,998,9.6%,42,1784,79,0.02,5126,4635,22.8%,26.7%,NAVL,NAP,NAP
237NEW,International Tractors,Lachman Dass Mittal,10341,9485,1739,16.8%,41,511,277,0.03,10453,10113,14.5%,18.7%,NAVL,NAP,NAP
238-1,Endurance Technologies,Anurang Jain,10340,10241,680,6.6%,43,505,765,0.15,5902,4977,14.5%,17.1%,4070,30555,45.4%
239-118,Piramal Enterprises,Ajay Piramal,10332,10110,-1684,NAP,4344,4447,53611,NAP,80168,26557,NAP,3.9%,219,21319,13.7%
2400,Reliance Power,Anil Ambani,10320,7893,-2068,NAP,2451,918,18766,1.62,32792,11614,NAP,0%,1277,11795,54.7%
241-13,Supreme Industries,Taparia family,10313,10134,1070,10.4%,16,1187,55,0.01,5200,5109,22.5%,29.4%,5565,61463,11.1%
242-57,Nirma,Karsanbhai Patel,10285,10403,282,2.7%,291,1519,6811,0.72,18551,9504,2.5%,5.2%,NAVL,NAP,NAP
243-23,Supermarket Grocery Supplies,Tata,10230,10062,-1415,NAP,211,44,1582,1.8,3274,880,NAP,0%,NAVL,NAP,NAP
244-15,India Yamaha Motor,MNC,10147,9671,705,7%,17,1085,0,0,3182,3061,20.9%,29.2%,NAVL,NAP,NAP
245+26,South Indian Bank,Diversified,10127,8613,1070,10.6%,5281,10022,105831,NAP,117638,8826,13.8%,1%,9836,6760,0.8%
246+16,Ashoka Buildcon,"Parakh, Katariya families",10112,9798,503,5%,1310,816,5388,2.43,14374,2220,23.5%,15.2%,2201,5549,61.2%
247+28,Welspun India,B.K. Goenka,9983,9679,681,6.8%,153,255,2632,0.58,7735,4516,15.6%,15.4%,21929,15348,-8.9%
248+7,Persistent Systems,Anand Deshpande,9950,9822,1093,11%,47,1023,451,0.09,5468,4958,24.5%,28.7%,21950,66688,75.1%
249+33,Karur Vysya Bank,Diversified,9863,8204,1605,16.3%,4395,5659,91591,NAP,105719,10040,17.2%,1.6%,8889,15717,42.3%
250-33,Balkrishna Industries,Arvind Poddar,9851,9369,1471,14.9%,113,80,3099,0.35,12079,8854,17.9%,17.8%,2778,53030,10.7%
251-39,Vardhman Textiles,Paul Oswal,9777,9505,632,6.5%,102,88,1791,0.2,11012,9100,7.2%,8.8%,24929,13152,17.4%
252+11,Thermax,Anu Aga,9717,9323,645,6.6%,88,975,1277,0.29,5887,4440,15.5%,17.9%,2843,51236,74.5%
253-17,Birla Corporation,M.P. Birla Group,9703,9663,421,4.3%,372,159,3903,0.68,11407,5743,7.8%,9.1%,3077,10989,-13.9%
254+4,Blue Star,Ashok Advani,9650,9685,415,4.3%,58,377,243,0.09,2920,2610,21%,24.8%,3992,30472,84.9%
255-17,Mahindra CIE Automotive,MNC,9632,9280,1125,11.7%,107,239,855,0.14,7047,5988,20.3%,17.7%,1604,19549,-6.4%
256+8,Karnataka Bank,Diversified,9617,8299,1307,13.6%,5000,7993,102457,NAP,116204,10343,14.5%,1.2%,8907,8388,-5.4%
257-1,Cummins India,MNC,9605,9000,1721,17.9%,27,1513,127,0.02,6934,6612,27.8%,33.8%,1356,87250,83.2%
258-13,Edelweiss Financial Services,Rashesh Shah & Associates,9602,9523,421,4.4%,2787,3331,20358,NAP,26407,4762,8.5%,11.8%,NAVL,7936,76.1%
259+22,GMR Airports Infrastructure,G.M. Rao family,9542,8755,-559,NAP,2929,2826,35887,NAP,41950,-2164,NAP,0%,182,64935,35.4%
260+1,Godrej Properties,Godrej Group,9519,3036,725,7.6%,152,2920,10679,1.07,21012,9993,7.8%,6.3%,3015,73614,42.2%
261+5,The Ramco Cements,P.R. Venketrama Raja,9442,9376,360,3.8%,416,137,4937,0.68,12261,7238,5.6%,8.1%,3647,20449,-8.9%
262+56,DBS Bank India,MNC,9409,7837,377,4%,5120,9679,106430,NAP,129893,12579,3.3%,0.3%,NAVL,NAP,NAP
263-42,G R Infraprojects,VK Agarwal & Associates,9395,8980,1324,14.1%,565,740,3817,0.5,11437,7592,15.6%,16.9%,14432,13940,44%
264+10,Team Lease Services,"Sabharwal, Reddy",9371,9322,112,1.2%,10,421,105,0.13,1053,798,14%,12.3%,2354,5039,6.1%
265-73,Gujarat State Fert. & Chemicals,Govt of Gujarat,9352,9155,564,6%,11,2303,5,0,13304,12727,4.6%,5.6%,2855,9211,5.6%
266-25,Escorts Kubota,MNC,9344,8850,1049,11.2%,14,1179,53,0.01,9298,9176,12.1%,16.1%,699,38514,7.4%
267-54,TVS Supply Chain Solutions,TVS-Dinesh R (T S Rajam Group),9329,9200,-101,NAP,210,597,2199,1.21,4114,1815,NAP,0%,3615,8218,-13.4%
268+1,Coforge,MNC,9240,9179,808,8.7%,126,335,726,0.2,4684,3627,24.9%,27.8%,14318,39283,42%
269-21,Concor,Govt of India,9211,8812,1261,13.7%,72,3296,914,0.08,12961,11823,11%,13.9%,1297,57306,6.1%
270+45,Manappuram Finance,V.P. Nandakumar,8920,8848,2189,24.5%,2866,3181,34320,NAP,45897,11548,20.7%,13.8%,22470,15614,2.6%
271+14,Sonata Software,Rajan Raheja Group,8808,8613,309,3.5%,85,865,765,0.54,2199,1406,30.3%,31.8%,3750,18830,-19.4%
272+21,Hatsun Agro Product,R. G. Chandramogan,8760,7990,267,3.1%,154,53,2698,1.72,4308,1572,17.7%,13.5%,2488,24980,-3.4%
273-83,Deepak Fertilizers,C.K. Mehta,8743,8697,443,5.1%,404,361,4149,0.77,9740,5408,7.9%,10.7%,995,9513,115.1%
274-2,PNC Infratech,P.K. Jain,8731,8650,909,10.4%,660,1379,8025,1.55,14117,5185,19.2%,15%,8845,10974,-7.2%
275-29,Sammaan Capital,Diversified,8625,8579,1214,14.1%,5307,4424,48493,NAP,68285,19792,6.5%,10.1%,4358,10311,-13.4%
276+16,Piramal Pharma,Ajay Piramal,8605,8171,18,0.2%,448,483,4710,0.6,12822,7911,0.2%,5.4%,4780,21877,111.1%
277+9,Delhivery,Diversified,8603,8142,-249,NAP,89,403,1169,0.13,10379,9145,NAP,0%,23381,30511,-17.3%
278-29,Kansai Nerolac Paints,MNC,8554,7801,1185,13.9%,29,260,276,0.05,5899,5583,12.8%,16.6%,3784,23897,-17%
279R-E ‘20,SpiceJet,Ajay Singh family,8527,7085,-423,NAP,467,215,5379,NAP,359,-5217,NAP,0%,NAVL,4956,46.5%
280R-E ‘21,P.N. Gadgil & Sons,Govind Gadgil & Dr Renu Gadgil,8439,8451,136,1.6%,25,60,449,0.67,1179,669,22.4%,19.9%,NAVL,NAP,NAP
281-73,Gujarat Narmada Valley Fertilizers & Chemicals,Govt of Gujarat,8419,7930,497,5.9%,13,1529,3,0,9322,8309,5.6%,6.9%,2134,10127,-19.2%
282+46,Hero Fincorp,Munjal family,8360,8357,637,7.6%,3126,158,46297,NAP,52069,5772,11.6%,8.7%,3509,NAP,NAP
283+11,Motherson Sumi Wiring India,Vivek Chaand Sehgal,8341,8328,638,7.7%,27,268,259,0.15,1985,1677,42.5%,46.8%,3418,29925,1.7%
284NEW,Ismartu India,MNC,8327,8267,245,2.9%,10,9,44,0.08,685,531,56.6%,58.8%,NAVL,NAP,NAP
285-17,Divis Laboratories,Murali K Divi,8293,7845,1600,19.3%,4,3980,3,0,13611,13571,12.2%,16.4%,11107,116698,57.9%
286+20,KEI Industries,Anil Gupta,8241,8104,581,7.1%,44,700,166,0.05,3338,3148,20.2%,27%,1794,34556,33.8%
287-3,United Breweries,MNC,8230,8123,410,5%,7,214,102,0.02,4309,4178,10.1%,13.4%,1364,50275,20.2%
288+3,LT Foods,Gurucharan Dass Arora,8227,7772,593,7.2%,83,50,917,0.27,4496,3372,19.5%,21%,1188,9223,61.4%
289+30,IRB Infrastructure Developers,Virendra Mhaiskar,8202,7409,606,7.4%,1868,1763,18653,1.36,42556,13745,4.5%,6.8%,NAVL,35809,26.9%
290+69,SMFG India Credit Company,MNC,8083,8079,670,8.3%,3017,2265,38935,NAP,44778,5843,12.1%,9.4%,NAVL,NAP,NAP
291-2,Prism Johnson,Rajan Raheja Group,8034,7588,181,2.3%,201,506,2234,1.61,4627,1389,-3.4%,3.1%,10493,8786,10.7%
292+41,Ipca Laboratories,Premchand Godha,8028,7705,547,6.8%,141,297,1438,0.23,9253,6332,8.7%,12.9%,17335,32466,48.3%
293-79,HCC,Ajit Gulabchand,8021,7007,478,6%,813,513,2223,NAP,3611,-168,NAP,10.9%,1049,6557,20.2%
294-4,RPSG Ventures,RP-Sanjiv Goenka Group,7995,7951,-42,NAP,627,689,4211,1.58,11888,2667,NAP,10.3%,106,2591,54.3%
295+1,Hudco,Govt of India,7948,7829,2117,26.6%,4961,387,73996,NAP,90608,16613,13.2%,9.2%,621,43230,151.9%
296-73,Gemini Edibles & Fats India,MNC,7924,7433,362,5%,450,6130,5501,2.24,7953,2452,15.4%,11.9%,NAVL,NAP,NAP
297+19,PI Industries,Mayank Singhal,7888,7666,1682,21.3%,44,2704,191,0.02,9118,8731,21.1%,23.6%,3670,59390,13.8%
298-28,Surya Roshni,J.P. Agarwal,7841,7809,329,4.2%,24,46,16,0.01,2224,2166,16.3%,20.7%,5501,6845,10.3%
299-19,Jain Irrigation Systems,Bhavarlal Jain family,7832,7820,45,0.6%,419,108,4049,0.74,9686,5442,0.8%,5.8%,2431,4390,-7.9%
300-47,Arvind,Sanjay Lalbhai,7815,7738,337,4.3%,193,76,1448,0.41,5181,3543,10.2%,13%,2727,8641,49.7%
301+88,ITD Cementation India,MNC,7782,7718,274,3.5%,218,896,889,0.6,2442,1494,20.1%,26.8%,4068,7209,96.9%
302-37,Deepak Nitrite,C.K. Mehta,7735,7682,811,10.5%,15,465,286,0.06,5144,4797,16.4%,21.6%,1549,34308,21.4%
303+81,Bajaj Holdings & Investment,Bajaj Group,7669,1702,7267,94.8%,2,54,63,NAP,63034,54248,15%,15.2%,NAVL,99723,48.1%
304+1,Varroc Engineering,Tarang Jain & Others,7650,7552,526,6.9%,194,130,1390,0.93,2961,1497,32.3%,14.8%,2555,8541,-7.5%
305-2,Brakes India,TVS-S. Viji,7580,7483,743,9.8%,68,64,770,0.24,4150,3147,22.6%,24.6%,NAVL,NAP,NAP
306-5,Crompton Greaves Consumer Electricals,Diversified,7498,7313,440,5.9%,79,261,683,0.23,4340,3000,15.6%,16.9%,2238,23312,34.8%
307+14,Belrise Industries,Shrikant Badve,7495,7484,314,4.2%,290,250,2504,1.07,4993,2340,14.3%,14.1%,NAVL,NAP,NAP
308-21,Electrosteel Castings,P.K. Khaitan,7472,7478,740,9.9%,219,400,2332,0.46,7763,5113,15.6%,15.5%,2901,10380,39.3%
309-9,Schaeffler India,MNC,7450,7251,899,12.1%,5,1586,51,0.01,4872,4805,19.8%,26.4%,1695,56362,24.9%
310+82,Thomas Cook India,Fairfax Group,7436,7299,259,3.5%,99,1188,418,0.29,3145,1452,10.9%,12%,2241,9046,29.9%
311+55,Sundaram Finance,TVS-S. Viji,7286,7274,1436,19.7%,3418,1503,52334,NAP,63412,11078,13.6%,9.3%,5822,47582,31.1%
312+37,Go Digit General Insurance,"Fairfax, Kamesh Goyal",7269,7269,182,2.5%,0,356,350,NAP,3070,2697,5.4%,5.1%,3970,31986,3.4%
313-9,JK Paper,JK Organisation,7262,7000,1122,15.5%,208,73,2166,0.43,7623,5070,24.9%,21.1%,1662,7245,9.9%
314+26,Cyient,BVR Mohan Reddy & Associates,7237,7147,683,9.4%,116,984,788,0.18,5524,4258,18.2%,20.3%,12875,21618,-1.5%
315+5,Fortis Healthcare,MNC,7224,7176,599,8.3%,131,598,1155,0.15,9859,7663,7.8%,9.7%,2593,36088,80.4%
316-73,Aegis Logistics,RK Chandaria,7149,7046,569,8%,116,1775,2665,0.68,7200,3894,18.1%,16.1%,368,21355,169.2%
317+56,Force Motors,Abhaykumar Firodia family,7138,6992,388,5.4%,62,449,525,0.23,2818,2255,18.8%,23.5%,5729,9113,63.9%
318+135,Motilal Oswal Financial Services,"Motilal Oswal, Raamdeo Agrawal",7131,7069,2441,34.2%,1014,12071,13787,NAP,22556,8732,32.6%,20.7%,8240,33779,198.7%
319+7,PNB Housing Finance,Govt of India,7057,7050,1508,21.4%,4263,2607,55017,NAP,69991,14974,11.6%,9.2%,2003,21312,6.3%
320-32,Jaiprakash Associates,Jaiprakash Gaur,7013,6568,-1340,NAP,1039,907,15412,NAP,25733,-2594,NAP,0%,4927,3993,-65.3%
321+8,Trident,Rajinder Gupta,6963,6809,350,5%,156,531,2126,0.49,6444,4315,8.2%,10.5%,2297,19617,-14%
322+21,DLF,K.P. Singh family,6958,6427,2727,39.2%,356,4384,4834,0.12,45502,39431,4.2%,5.7%,2507,203791,21.8%
323+23,Indian Hotels Co,Tata Group,6952,6769,1259,18.1%,220,1486,2736,0.29,12979,9457,13.7%,15.9%,5756,82872,76.3%
324+1,JK Lakshmi Cement,JK Organisation,6944,6788,472,6.8%,150,267,2084,0.65,5820,3187,16.3%,16.5%,1621,9828,-10.2%
325+23,Jaiprakash Power Ventures,Jaiprakash Gaur,6907,6763,1022,14.8%,449,957,4223,0.37,15950,11468,10.2%,11.7%,1468,12218,18.4%
326-19,Whirlpool of India,MNC,6872,6830,217,3.2%,30,2235,231,0.06,4365,3689,6.2%,8.3%,2364,21493,15.9%
327R-E ‘20,India Infrastructure Finance Co.,Govt of India,6777,5942,1637,24.2%,4024,11544,59340,NAP,73326,13986,11.6%,8.7%,NAVL,NAP,NAP
328-16,Jamnagar Utilities & Power,Mukesh Ambani,6770,4733,719,10.6%,1434,473,11833,0.41,47371,28521,2.6%,6.4%,NAVL,NAP,NAP
329-32,Amber Enterprises India,Jasbir Singh,6756,6729,133,2%,167,691,1539,0.75,3957,2064,7%,9.8%,2034,13962,83.5%
330-22,Culver Max Entertainment,MNC,6726,6511,840,12.5%,17,2796,0,0,9437,9118,9.7%,12.9%,NAVL,NAP,NAP
331+1,Jubilant Pharmova,Jubilant Bhartia Group,6718,6703,77,1.2%,272,957,3664,0.67,9748,5434,0.8%,6.4%,3747,12042,165%
332+15,Oracle Fin. Services Software,MNC,6715,6373,2219,33.1%,28,5538,43,0.01,8442,7859,29%,37.1%,7890,74216,175.4%
333-34,Paul Merchants,Sat Paul Bansal,6675,6670,55,0.8%,43,41,493,NAP,1062,565,10.2%,12.3%,402,307,4.1%
334+1,Jai Balaji Industries,Aditya Jajodia,6668,6414,880,13.2%,73,91,473,0.31,2021,1504,28.7%,27.5%,4440,16133,50.4%
335+21,RR Kabel,Kabra family,6656,6595,298,4.5%,54,99,360,0.2,2202,1829,18.4%,21.8%,2776,18290,-6.7%
336+40,FSN E-Commerce Ventures,Nayar family,6616,6386,32,0.5%,84,240,969,0.77,2332,1262,3.3%,6.5%,311,50517,-1.7%
337R-E ‘20,Bombay Dyeing,Nusli Wadia,6613,1688,2949,44.6%,326,479,3,0,2022,1874,-94.5%,0.9%,424,3886,27.4%
338-87,Suzlon Energy,Tulsi Tanti,6612,6529,660,10%,164,427,150,0.04,4254,3920,3.1%,3.7%,5969,72283,43.7%
339NEW,Lloyds Metals & Energy,Mukesh Gupta family,6594,6522,1243,18.9%,6,287,33,0.01,2869,2811,57.3%,78.3%,1402,36448,64.4%
340+50,Muthoot Fincorp,Muthoot Pappachan Group,6585,6580,1048,15.9%,2828,3193,31745,NAP,37542,4334,26%,12.8%,NAVL,NAP,NAP
341+13,PCBL,RP-Sanjiv Goenka Group,6527,6420,491,7.5%,181,385,4983,1.53,8288,3247,16.2%,14.1%,1003,12443,69.1%
342+19,Electronics Mart India,Pavan Kumar Bajaj,6491,6285,184,2.8%,108,85,1570,1.15,2940,1370,14.4%,12.7%,4435,8172,-22.6%
343-19,Aarti Industries,Chandrakant Gogri,6474,6372,416,6.4%,211,130,3242,0.61,8708,5290,8.2%,7.3%,2686,22897,-16.5%
344-14,Mahanagar Gas,Govt of India,6465,6290,1276,19.7%,13,426,141,0.03,5325,5130,27.6%,36.1%,532,14725,11.2%
345+67,Ujjivan Small Finance Bank,Diversified,6464,5677,1281,19.8%,2268,2537,33633,NAP,40440,5614,26.6%,3.5%,22566,9515,-37.4%
346+67,Balrampur Chini Mills,Vivek Saraogi,6463,5594,534,8.3%,84,3,2009,0.59,5421,3401,13.8%,13.4%,6056,9210,18.1%
347R-E ‘22,Ford India,MNC,6451,5171,344,5.3%,160,897,1435,0.75,3506,1911,1.8%,2.6%,NAVL,NAP,NAP
348+15,Alembic Pharmaceuticals,Chirayu Amin,6400,6229,616,9.6%,56,127,513,0.11,5441,4818,13.4%,12.9%,14858,19547,38.3%
349-70,Polyplex Corporation,Sanjiv Saraf,6397,6307,38,0.6%,42,706,748,0.21,6589,3511,2.5%,2.8%,548,3213,17.4%
350-11,ISGEC Heavy Engineering,Ranjit Puri,6387,6219,244,3.8%,84,192,814,0.32,3700,2523,10.6%,11.8%,2979,8437,49.8%
351+113,Bank of America,MNC,6360,5617,1881,29.6%,1872,8304,76137,NAP,106784,19376,10.2%,2%,NAVL,NAP,NAP
352NEW,Haier Appliances India,MNC,6319,6305,156,2.5%,31,482,208,0.1,2902,2104,7.7%,8.3%,NAVL,NAP,NAP
353-22,Jayaswal Neco Inds.,Arbind Jayaswal,6316,5934,210,3.3%,470,140,3214,1.42,5523,2263,7.3%,12.3%,4261,4745,-15.3%
354+53,Equitas Small Finance Bank,Diversified,6285,5486,799,12.7%,2407,3579,37917,NAP,45319,5969,14.4%,2%,22873,10460,-30.3%
355-32,Kirloskar Industries,Kirloskar Group,6284,6396,200,3.2%,122,115,1241,0.25,7979,4991,9.7%,14.1%,NAVL,4871,38.4%
356+121,PVR Inox,Bijli & Pavan Jain families,6264,6107,-32,NAP,791,404,8304,1.13,15717,7324,NAP,0%,4650,14601,-14.1%
357-23,Bajaj Hindusthan Sugar,Shishir Bajaj,6239,6104,-86,NAP,162,52,3828,0.86,8444,4475,NAP,0%,7374,4471,-6.7%
358-31,Black Box,Essar Group,6192,6282,138,2.2%,141,223,712,1.48,1308,481,37.2%,26.4%,373,5886,128.8%
359-100,Pepsico India Holdings,MNC,6148,5954,217,3.5%,29,1065,86,0.02,4281,3733,6.4%,9%,NAVL,NAP,NAP
360-8,Philips India,MNC,6138,6000,258,4.2%,39,273,401,0.27,2382,1490,18.9%,17.7%,NAVL,NAP,NAP
361+8,Abbott India,MNC,6116,5875,1201,19.6%,12,2134,83,0.02,3897,3699,34.9%,44.7%,3589,57484,15%
362-40,KPR Mill,K.P. Ramasamy family,6077,6060,805,13.3%,74,179,1158,0.27,5523,4358,20%,21%,20774,28836,8.7%
363+25,RattanIndia Enterprises,Rajiv Rattan,6040,5610,426,7.1%,114,165,1184,1.41,2041,839,-10.4%,2.9%,NAVL,10661,-7.2%
364-62,Solar Industries India,Satyanarayan Nuwal,6031,6070,836,13.9%,109,287,1138,0.34,4569,3306,29.6%,30.8%,929,81720,40%
365-24,KRBL,Anil Mittal,6026,5385,596,9.9%,24,30,545,0.11,5417,4858,12.5%,15.8%,2179,7176,-18.2%
366+1,City Union Bank,Diversified,6012,5271,1016,16.9%,3147,6944,60381,NAP,70826,8401,12.8%,1.5%,7188,11445,15%
367-7,Oravel Stays,Ritesh Agarwal,5962,5389,220,3.7%,844,710,3844,2.07,4773,1860,-1.2%,4.3%,NAVL,NAP,NAP
368+25,Kirloskar Oil Engines,Kirloskar Group,5946,5898,442,7.4%,328,505,4142,1.55,6885,2676,17.7%,14.7%,2370,14893,111.2%
369-32,Great Eastern Shipping Company,K.M. Sheth,5919,5255,2614,44.2%,265,4891,3048,0.25,15766,12397,23.1%,19.7%,242,15842,40.4%
370+11,Jubilant Foodworks,Jubilant Bhartia Group,5888,5654,399,6.8%,288,157,4207,1.94,6568,2171,13%,11.2%,8262,36163,16.8%
371+27,Max Healthcare Institute,"Abhay Soi, KKR",5883,5704,1058,18%,60,1099,1299,0.15,10347,8408,13.4%,15%,12697,81519,61.5%
372+44,Brigade Enterprises,M.R. Jaishankar,5875,4897,452,7.7%,491,1737,5470,1.5,9275,3641,11.7%,12.2%,859,25930,55%
373+36,Medplus Health Services,Madhukar Gangadi & Others,5856,5625,65,1.1%,96,142,1010,0.64,2620,1578,4.3%,6.7%,21716,8312,-14%
